Material,Process,Sub-process,Power,Velocity,Hatch spacing,layer thickness,beam D,density,Cp,k,melting T,absorption coefficient,minimal absorptivity,p/lb,p/l,p/b2,p/b,vb,vl,meltpool shape,,Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,porosity,relative density,comment,,,,,
IN718,PBF,SLM,285,960,500,70,100,8190,435,11.2,1400,0.179212201,0.178,40714.28571,4071.428571,28.5,285,96,67.2,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,100,200,500,70,100,8190,435,11.2,1400,0.301847436,0.178,14285.71429,1428.571429,10,100,20,14,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,100,400,500,70,100,8190,435,11.2,1400,0.150923718,0.178,14285.71429,1428.571429,10,100,40,28,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,100,600,500,70,100,8190,435,11.2,1400,0.100641717,0.178,14285.71429,1428.571429,10,100,60,42,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,100,800,500,70,100,8190,435,11.2,1400,0.075461859,0.178,14285.71429,1428.571429,10,100,80,56,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,100,1000,500,70,100,8190,435,11.2,1400,0.06038503,0.178,14285.71429,1428.571429,10,100,100,70,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,150,200,500,70,100,8190,435,11.2,1400,0.452771154,0.178,21428.57143,2142.857143,15,150,20,14,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,150,400,500,70,100,8190,435,11.2,1400,0.226385577,0.178,21428.57143,2142.857143,15,150,40,28,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,150,600,500,70,100,8190,435,11.2,1400,0.150923718,0.178,21428.57143,2142.857143,15,150,60,42,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,150,800,500,70,100,8190,435,11.2,1400,0.113231646,0.178,21428.57143,2142.857143,15,150,80,56,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,150,1000,500,70,100,8190,435,11.2,1400,0.090538688,0.178,21428.57143,2142.857143,15,150,100,70,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,150,1200,500,70,100,8190,435,11.2,1400,0.075461859,0.178,21428.57143,2142.857143,15,150,120,84,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,200,200,500,70,100,8190,435,11.2,1400,0.603694872,0.178,28571.42857,2857.142857,20,200,20,14,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,200,400,500,70,100,8190,435,11.2,1400,0.301847436,0.178,28571.42857,2857.142857,20,200,40,28,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,200,600,500,70,100,8190,435,11.2,1400,0.201205719,0.178,28571.42857,2857.142857,20,200,60,42,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,200,800,500,70,100,8190,435,11.2,1400,0.150923718,0.178,28571.42857,2857.142857,20,200,80,56,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,200,1000,500,70,100,8190,435,11.2,1400,0.120770061,0.178,28571.42857,2857.142857,20,200,100,70,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,200,1200,500,70,100,8190,435,11.2,1400,0.100641717,0.178,28571.42857,2857.142857,20,200,120,84,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,200,500,70,100,8190,435,11.2,1400,0.75461859,0.178,35714.28571,3571.428571,25,250,20,14,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,400,500,70,100,8190,435,11.2,1400,0.377309295,0.178,35714.28571,3571.428571,25,250,40,28,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,600,500,70,100,8190,435,11.2,1400,0.251565435,0.178,35714.28571,3571.428571,25,250,60,42,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,800,500,70,100,8190,435,11.2,1400,0.188693505,0.178,35714.28571,3571.428571,25,250,80,56,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,1000,500,70,100,8190,435,11.2,1400,0.150923718,0.178,35714.28571,3571.428571,25,250,100,70,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,1200,500,70,100,8190,435,11.2,1400,0.12574386,0.178,35714.28571,3571.428571,25,250,120,84,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,250,1400,500,70,100,8190,435,11.2,1400,0.107791554,0.178,35714.28571,3571.428571,25,250,140,98,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,300,400,500,70,100,8190,435,11.2,1400,0.452771154,0.178,42857.14286,4285.714286,30,300,40,28,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,300,600,500,70,100,8190,435,11.2,1400,0.301847436,0.178,42857.14286,4285.714286,30,300,60,42,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,300,800,500,70,100,8190,435,11.2,1400,0.226385577,0.178,42857.14286,4285.714286,30,300,80,56,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,300,1000,500,70,100,8190,435,11.2,1400,0.181077375,0.178,42857.14286,4285.714286,30,300,100,70,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,300,1200,500,70,100,8190,435,11.2,1400,0.150923718,0.178,42857.14286,4285.714286,30,300,120,84,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,300,1400,500,70,100,8190,435,11.2,1400,0.129396494,0.178,42857.14286,4285.714286,30,300,140,98,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,370,400,500,70,100,8190,435,11.2,1400,0.55838667,0.178,52857.14286,5285.714286,37,370,40,28,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,370,800,500,70,100,8190,435,11.2,1400,0.279232193,0.178,52857.14286,5285.714286,37,370,80,56,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,370,1000,500,70,100,8190,435,11.2,1400,0.223354668,0.178,52857.14286,5285.714286,37,370,100,70,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,370,1200,500,70,100,8190,435,11.2,1400,0.18612889,0.178,52857.14286,5285.714286,37,370,120,84,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
IN718,PBF,SLM,370,1400,500,70,100,8190,435,11.2,1400,0.159550151,0.178,52857.14286,5285.714286,37,370,140,98,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,,,,,,
Ti-6Al-4V,PBF,SLM,520,1100,,,95,4470.5,561.5,7.2,1649,0.535149702,0.26,#DIV/0!,#DIV/0!,57.61772853,547.3684211,104.5,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,150,1200,,,95,4470.5,561.5,7.2,1649,0.141520129,0.26,#DIV/0!,#DIV/0!,16.62049861,157.8947368,114,0,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,200,1200,,,95,4470.5,561.5,7.2,1649,0.188693505,0.26,#DIV/0!,#DIV/0!,22.16066482,210.5263158,114,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,250,1200,,,95,4470.5,561.5,7.2,1649,0.235866882,0.26,#DIV/0!,#DIV/0!,27.70083102,263.1578947,114,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,300,1200,,,95,4470.5,561.5,7.2,1649,0.283040258,0.26,#DIV/0!,#DIV/0!,33.24099723,315.7894737,114,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
