Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/l,d/w,l/w,E (J/mm),E (J/mm3),absorption coefficient,absorption coefficient 2,density,Cp,k,melting T,minimum absorptivity,meltpool shape,spatter,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),D10,D50,D90,paper ID,paper,porosity,relative density,comment,
Ti-6Al-4V,PBF,SLM,280,1200,0,30,100,140,84,,,2.8,,,0.233333333,56,0.198407957,,4470.5,561.5,7.2,1922,0.26,desirable,0.002000402,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,400,0,30,100,140,144,,,4.8,,,0.7,167,0.595301586,,4470.5,561.5,7.2,1922,0.26,keyhole,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,800,0,30,100,140,102,,,3.4,,,0.35,83,0.297650793,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1000,0,30,100,140,92,,,3.066666667,,,0.28,67,0.238120634,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1500,0,30,100,80,75,,,2.5,,,0.186666667,44,0.158772995,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,370,1200,0,30,100,140,96,,,3.2,,,0.308333333,73,0.262212474,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,325,1200,0,30,100,140,90,,,3,,,0.270833333,64,0.230349073,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,100,1200,0,30,100,50,50,,,1.666666667,,,0.083333333,56,0.070876638,,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,165,1200,0,30,100,140,64,,,2.133333333,,,0.1375,33,0.116961996,,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1200,0,30,100,160,84,,,2.8,,,0.233333333,49,0.198407957,,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,280,1200,0,30,100,40,84,,,2.8,,,0.233333333,194,0.198407957,,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,370,1000,0,30,100,240,105,,,3.5,,,0.37,51,0.314670512,,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,1,https://www.sciencedirect.com/science/article/pii/S2214860420309246,,,,1649
Ti-6Al-4V,PBF,SLM,50,500,0,30,30,101.010101,16,68,,0.533333333,0.235294118,,0.1,33,0.944944123,0.243405767,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-2,24,,,1649
Ti-6Al-4V,PBF,SLM,50,750,0,30,30,101.010101,12,50,,0.4,0.24,,0.066666667,22,0.629962749,0.194242897,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-3,45,,,1649
Ti-6Al-4V,PBF,SLM,50,1000,0,30,30,104.1666667,10,48,,0.333333333,0.208333333,,0.05,16,0.472510919,0.230445219,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-4,55,,,1649
Ti-6Al-4V,PBF,SLM,50,1200,0,30,30,106.8376068,5,45,,0.166666667,0.111111111,,0.041666667,13,0.393707289,0.239598841,4470.5,561.5,7.2,1922,0.26,balling,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-5,65,,,1649
